ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
1	داشت که این کار هم انجام شد و به.	Y	و	1	3,043,074	4.2144	30.2222	persian_news_2019_00423662
2	در مردم این کشور و دیگر کشور های منطقه..	Y	و	1	3,043,074	4.2144	44.5	persian_news_2017_00544349
3	و 90درصد از تولید شده جهان در ایران تولید..	Y	و	1	3,043,074	4.2144	54.625	persian_news_2016_00896057
4	بین ایران و عراق است و این موضوع به.	Y	و	1	3,043,074	4.2144	64.5	persian_news_2019_00261629
5	آغاز است گفت هزار و 800 میلیارد تومان دیگر.	Y	و	1	3,043,074	4.2144	88.75	persian_news_2019_00076639
6	با این وجود ایران که در سال های..	Y	در	2	2,721,276	3.7687	20.375	persian_news_2016_00238694
7	داشته است پیش از آن در سال های 1388.	Y	در	2	2,721,276	3.7687	40.375	persian_news_2019_00423808
8	در بازار به صورت وارد شده است وی با..	Y	در	2	2,721,276	3.7687	51.8889	persian_news_2016_00500740
9	با پیش از انقلاب و بعد از انقلاب در.	Y	در	2	2,721,276	3.7687	64.7143	persian_news_2019_00199937
10	این سه دوره در سه کشور مختلف برگزار شدند.	Y	در	2	2,721,276	3.7687	100.375	persian_news_2017_00154313
11	که برای در این شرکت ها به ۵۰.	Y	به	3	2,124,020	2.9416	21.1429	persian_news_2019_00712520
12	از 44 کشور در تهران آغاز به کار.	Y	به	3	2,124,020	2.9416	43.7143	persian_news_2019_00040662
13	است با اشاره به اینکه در چند سال گذشته..	Y	به	3	2,124,020	2.9416	51.5556	persian_news_2017_00060994
14	در هفته های گذشته - با توجه به اینکه..	Y	به	3	2,124,020	2.9416	62.125	persian_news_2017_00551179
15	میلیارد تومان به بخش های مختلف این شهرستان وارد.	Y	به	3	2,124,020	2.9416	116.7778	persian_news_2019_00811375
16	اعلام کرد که در سال گذشته از.	Y	از	4	1,737,457	2.4062	23.7143	persian_news_2019_00076322
17	به اینکه از دو سال گذشته در..	Y	از	4	1,737,457	2.4062	37.2857	persian_news_2016_00307496
18	برگزار شد وی افزود در این دوره از.	Y	از	4	1,737,457	2.4062	53.25	persian_news_2019_00245125
19	و است تهران 20 هر هفته یکی از.	Y	از	4	1,737,457	2.4062	65.2857	persian_news_2019_00919649
20	30 میلیون نفر از افراد جامعه را کند..	Y	از	4	1,737,457	2.4062	87.1429	persian_news_2017_00005896
21	او این را از خود گفته است.»	Y	است	5	1,141,003	1.5802	26.5714	persian_news_2016_00175809
22	است این در مجلس شورای اسلامی با اشاره.	Y	است	5	1,141,003	1.5802	42.125	persian_news_2019_00061310
23	است او با اشاره به تلاش این.	Y	است	5	1,141,003	1.5802	50.4286	persian_news_2019_00062014
24	اين برای همه است نه تنها ايران .	Y	است	5	1,141,003	1.5802	63.1429	persian_news_2017_00208074
25	درصد است بیان داشت 100 میلیارد تومان به شرکت.	Y	است	5	1,141,003	1.5802	94.75	persian_news_2019_00475366
26	که در سال های گذشته به عنوان.	Y	که	6	1,066,693	1.4773	25.8571	persian_news_2019_00713088
27	گرفته است که این کشور از نظر.	Y	که	6	1,066,693	1.4773	36.5714	persian_news_2019_00718203
28	با های مختلف این کشور برگزار کرد که برای..	Y	که	6	1,066,693	1.4773	46	persian_news_2017_00258497
29	به کار بودند که با وجود در بازار..	Y	که	6	1,066,693	1.4773	57.25	persian_news_2016_00319322
30	از ۱۰ بود که وارد منطقه و بین مردم.	Y	که	6	1,066,693	1.4773	71.75	persian_news_2019_00040456
